status,name,address,website,phone,email,first_name,last_name,job_title,email_verified,personal_email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Polo Landscapes","Dallas, TX 75209",https://www.pololandscapes.com,2144139896,polo@pololandscapes.com,,,,,,4.8,74,4.1,117,,,1428,,1400,1,1,0,1,0,0,0,1,1,1,https://www.facebook.com/POLO-Landscapes-622708681168712/,,,https://www.youtube.com/@PoloLandscapes,,"Landscaping,Irrigation",yelp,1,0,0,92295675
,"Paul Bunyan Tree Services","Grand Prairie, TX 75052",https://www.pbtreeservice.com,8178918733,paubunyantreeservice@gmail.com,,,,,,,,5,6,,,,,,0,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95530272
,"Parker Tree Service","11 Maxwell Ln Murphy, TX 75094",https://www.parkertreeservice.biz,2143942414,george@parkertreeservice.biz,,,,,,,,4,43,,,,,,1,1,0,0,0,0,0,1,0,1,https://www.facebook.com/profile.php?id=100095408139950,,,https://www.youtube.com/channel/UCCZ_pEVstJ-961cfmMMexXw,https://www.instagram.com/parkertxtreeservice/,"Tree Services",yelp,1,0,0,95547822
,"Ortega Tree Service","FORT WORTH, TX 76112",https://www.ortegatreecare.us,2146034169,raafa1241@gmail.com,,,,,,4.6,10,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,0,0,0,95547247
,"One Green Lawn Landscaping","Fort Worth, TX 76179",https://www.onegreenlawnlandscaping.com,8177157393,onegreenlawn21@gmail.com,,,,,,5,3,5,1,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,https://www.instagram.com/one.green.lawn/,"Lawn Services",yelp,1,0,0,92295504
,"Advanced Tree Services","6200 Cook Hills Rd Burleson, TX 76028",https://www.northtexastree.com,8172498733,info@northtexastree.com,,,,,,5,91,5,10,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95546420
,"New Horizon Design & Build","Pilot Point, TX 76258",https://www.newhorizondesignbuild.com,9405973298,sales@newhorizondesignbuild.com,,,,,,4.6,16,4.1,15,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Landscaping,Tree Services,Masonry/Concrete",yelp,1,0,0,92304313
,"Morgan’s Tree Service","6312 Berlinetta Dr, Arlington, TX 76001",https://www.morganstreeservices.com,8178229434,morganstreeservicedfw@gmail.com,,,,,,,,4,3,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95529335
,"MDS Tree Service","1917 Wiseman Ave, Fort Worth, TX 76105",https://www.mdstreeservice.net/contact_us,8177301533,mdstreeservice@yahoo.com,,,,,,5,6,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,95543248
,"Tree Trimming Fort Worth","808 W Beddell St, Fort Worth, Tx 76115 · ~40.7 mi",https://www.integritytreecare.org/,8174021818,,,,,,,,,,,4.8,54,1923,,,0,0,0,0,0,0,0,1,1,1,https://www.facebook.com/IntegrityTreeCareTX,https://twitter.com/integritytreetx,https://www.linkedin.com/company/integrity-tree-care,https://www.youtube.com/channel/UCmlkRkr57GoqGgq9xys9tkw,https://instagram.com/integritytreecare/,"Tree services",bing,1,0,0,95544076
,Glennscape,"3333 Suffolk Dr, Fort Worth, TX 76133",https://www.glennscape.com/service-page/drainage,8179263553,info@glennscape.com.au,,,,,,,,,,,,587175,,46,1,1,0,1,0,0,0,1,1,0,http://www.facebook.com/wix,,,,,"Tree Service,Landscape Contractors,Drainage Contractors",yellowpages,1,0,0,103839099
,"Gecko Green","5001 N Fwy Ste 111 Fort Worth, TX 76106",https://www.geckogreen.com/lawn-care-fort-worth-tx?utm_source=yelp&utm_medium=listing_ad&utm_campaign=yelp_ft_worth,9729629660,customercare@geckogreen.com,,,,,,4.8,231,5,2,4.3,123,620,8,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/geckogreen,https://twitter.com/geckogreenlawn,,,,"Lawn Services,Pest Control,Tree Services",yelp,1,0,0,95546551
,"Fort Worth Arborist","3437 W 7th St Ste 161, Fort Worth, TX 76107",https://www.fortwortharborist.com,8177711183,office@fortwortharborist.co,,,,,,,,,,4,9,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/fortwortharboristco/,https://twitter.com/,,,,"Tree Service,Arborists,Stump Removal &amp; Grinding",yellowpages,1,0,0,95543758
,"DFW Tree Solution","2826 W Division St, Arlington, TX 76012",http://dfwtreesolution.com,8178370880,mike@dfwtreesolution.com,,,,,,4.8,56,,,,,3,,4,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,95546819
,"D&K Tree Service","Azle, TX 76020",https://www.d-ktreeservicestx.com,8175178539,dandktreeservice2014@gmail.com,,,,,,4.9,99,5,1,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/DandKTreeService2014/,,,,,"Tree Services",yelp,0,0,0,95546419
,"Home Commercial Services","205 W Fogg St, Fort Worth, TX 76110",https://www.cleaning4hcs.com,9728278081,hcstexas@gmail.com,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Home Improvements,Janitorial Service",yellowpages,1,0,0,106176389
,"Clean Edge Tree Service & Removal","608 East Hickory St Ste 128 Denton, TX 76205",https://www.cleanedgetrees.com,9726895102,,,,,,,5,564,4.8,11,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/CleanEdgeTrees/,,,https://www.youtube.com/channel/UCWvK9ndKujZQDIKB0mLyzew,https://www.instagram.com/clean_edge_tree_service/,"Tree Services",yelp,1,0,0,95546330
,"Chippers Tree Service","1617 W Shady Grove Rd, Grand Prairie, TX 75050",http://chipperstreeservice.net,9727439959,info@chipperstreeservice.net,,,,,,4.9,219,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://facebook.com/,,,,,"Tree service",google,1,0,0,8522614
,"C-Three Tree Service","1413 Augusta Rd, Benbrook, TX 76126",https://www.c3tree.com,8172499273,info@c3tree.com,,,,,,3.7,10,,,,,730,,731,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/c3treeco,,,,,"Tree Service",yellowpages,1,0,0,331523662
,"Bronco Land Clearing","Fort Worth, TX 75412",https://www.broncolandclearing.com,8173814511,broncolandclearing@gmail.com,,,,,,5,92,5,2,,,,,61,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/BroncoLandClearing,,,https://www.youtube.com/BroncoLandClearing,https://www.instagram.com/BroncoLandClearing,"Tree Services",yelp,1,0,0,95546417
,"Big Bear Tree Company","Arlington, TX 76017",https://www.bigbeartreeco.com,8065671926,,,,,,,,,5,1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95546963
,"Bartlett Tree Experts - Southlake","1900 Brumlow Ave Southlake, TX 76092",https://www.bartlett.com/locations/Southlake-TX.cfm/?utm_source=yelp&utm_medium=yelp_cpc&campaign=yelp_listing,8174053464,southlakeoffice@bartlett.com,,,,,,4.8,56,5,7,,,,,,1,1,0,0,0,0,0,1,1,1,http://www.facebook.com/pages/Bartlett-Tree-Experts/128790543841,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree Services",yelp,1,0,0,95543910
,"Bartlett Tree Experts - Fort Worth","2830 S Hulen St, Ste 169 Fort Worth, TX 76109",https://www.bartlett.com/locations/Fort-Worth-TX.cfm/?utm_source=yelp&utm_medium=yelp_cpc&campaign=yelp_listing,8174220047,lfeilmeier@bartlett.com,,,,,,,55,,,,,9379,,,1,1,0,0,0,0,0,1,1,1,http://www.facebook.com/pages/Bartlett-Tree-Experts/128790543841,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree Services",yelp,0,0,0,95546701
,"Bartlett Tree Experts","2830 S Hulen St #169, Fort Worth, TX 76109",https://www.bartlett.com/locations/fort-worth-tx.cfm,8176568733,gharrier@bartlett.com,,,,,,5,2,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree service in Fort Worth, Texas",google-places,1,0,0,8522748
,"Ark Construction & Landscaping","5005 Ira St, Haltom City, TX 76117",https://www.arkconstructionandlandscaping.com,8176824887,contact@arkconstructionandlandscaping.com,,,,,,5,1,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"General Contractors,Tree Service",yellowpages,1,0,0,491631162
,"Arborist USA","6800 Winifred Dr, Fort Worth, TX 76133",https://www.arboristusa.com/,8178806130,info@arboristusa.com,,,,,,4.8,109,,,,,688,,785,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/ArboristUSA,https://twitter.com/arboristusa,,,https://www.instagram.com/arboristusatreeservice/,"Arborist service in Fort Worth, Texas",google-places,1,0,0,8521284
,"Anderton Tree Service","5001 Borden Dr, Fort Worth, Tx 76116 · ~45.6 mi",https://www.andertontreeservice.com/,8178752763,,,,,,,4.8,74,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree services",bing,1,0,0,95543624
,"All About Mowing","12201 Mitchell Dr, Alvarado, TX 76009",https://www.allaboutmowing.com,8177131556,allaboutmowing@aol.com,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/allaboutmowing/,,https://www.linkedin.com/company/all-about-mowing,,,"Tree Service,Lawn Maintenance,Stump Removal & Grinding",yellowpages,1,0,0,109843063
,"Worsham's Lawn Service","1016 Hannah St, Burleson, TX 76028",https://worshamslawn.com,8175851222,josh@worshamslawn.com,,,,,,4,41,,,,,,,22,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/worshamslawn/,,,,,"Tree Service,Landscape Contractors,Lawn Maintenance",yellowpages,1,0,0,108327738
,"Wood Work Tree Service Dfw","Irving, TX 75016",https://woodworktreeservicedfw.com,4698450728,woodworktreeservice@gmail.com,,,,,,,,5,1,,,7,,7,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/people/Wood-Work-Tree-Service/100091498226520/?mibextid=ZbWKwL,,,,,"Tree Services",yelp,1,0,0,95528780
,"Wintergreen Tree Service","Roanoke, TX 76262",https://wintergreen-tree-service.mailchimpsites.com,9402330179,tiffaniechola@gmail.com,,,,,,5,4,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Firewood,Tree Services",yelp,1,0,0,95547720
,"Tree Service Fort Worth",,http://treeservicefortworth.org,8175029402,treeservicesfortworth@gmail.com,,,,,,4.4,41,,,,,238,2,323,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/TreeServiceFortWorth/,https://twitter.com/TreesFortWorth,,https://www.youtube.com/channel/UC8VXjAkCEK8WnqMBMMfM1fA?view_as=subscriber,,"Tree service",google,1,0,0,95544204
,"Juan tree services","4801 Sewell Ave, Fort Worth, TX 76114",http://villatorotreeservices.com,8178068349,juanvillatoro1982@gmail.com,,,,,,5,7,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,0,0,380444104
New,"Valdez Tree Service","4928 Callahan St, Fort Worth, TX 76105",https://valdeztreeservice.net,8174055213,valdeztreeservicetx@gmail.com,,,,,,5,209,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Tree Service,Arborists,Stump Removal & Grinding",yellowpages,1,0,0,557933068
,"TTM Tree Service","5301 E Fm 1197, Burleson, TX 76028",https://ttmtree.com,8174775296,,,,,,,4.8,59,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fpages%2Fcategory%2FLandscape-Company%2FTTM-Tree-Service-Lawn-Maintenance-615741001836094%2F,,,,,"Tree Service",yellowpages,1,0,0,95543208
,"Trussell’s Landscaping Trussell’s Tree Service","609 W Atchley, Alvarado, TX 76009",https://trussellslandscaping.com,8175266945,dwaynetrussell@gmail.com,,,,,,5,21,5,2,5,6,237,,315,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/TxTreeTrimming,https://twitter.com/TrussellDwayne,https://www.linkedin.com/in/trussell-tree-service,https://www.youtube.com/@dwaynetrussell-treeservice,https://www.instagram.com/cuttrees2021/?utm_medium=copy_link,"Landscaping,Firewood,Tree Services",yelp,1,0,0,92307414
,"The Real McCoy Landscape Service","7337 Brentwood Stair Rd, Fort Worth, TX 76112",https://trmlandscaping.com/contacts,8176901628,j.mccoy@trmlandscaping.com,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Landscape Contractors,Landscape Designers & Consultants",yellowpages,1,0,0,487700071
,"Trinity Forest Tree Care Service","5001 Borden Dr, Fort Worth, TX 76116",https://trinityforesttreecareservice.com/,8176091495,8f1179c1862f41e6a085c8c9124506c0.protect@withheldforprivacy.com,,,,,,4.9,144,,,,,,,,1,0,1,0,0,0,0,1,1,1,,,,,,"Tree service in Fort Worth, Texas",google-places,1,0,0,8521565
New,"Soto's Tree","Fort Worth, TX 76112",https://treesvcsintx.com,8176638952,admin@treesvcsintx.com,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/people/Sotostreecon/61561602990383/,,,,,"Tree Service",yellowpages,1,0,0,557933065
,"Tree Service Pros","2909 College Ave, Fort Worth, TX 76110 · ~40 mi",https://treeservicepros.org/,8175089940,,,,,,,5,4,,,,,,,,0,1,0,0,0,0,0,1,1,1,,,,,,"Tree services",bing,1,0,0,95543990
,"Jose‘s Tree Services","Irving, TX 75060",https://treeserviceirvingtx.com,9729712531,joselandscaping879@gmail.com,,,,,,,,4.5,11,,,98,,109,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/landscapeJose/,,,,,"Tree Services",yelp,1,0,0,95531627
New,"Trees by Vicente","6405 Willard Rd, Fort Worth, TX 76119",https://treesbyvicente.com/,8174017711,treesbyvicent@gmail.com,,,,,,5,11,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/vicente.alvarado.3344913/,,,,,"Tree service in Fort Worth, Texas",google-places,1,0,0,557935611
,Treenewal,"1617 Park Pl Ave, Forth Worth, Tx 76110 · ~40 mi",https://treenewal.com/fort-worth-arborist-services,8177698740,info@treenewal.com,,,,,,,,,,4.6,37,273,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/TreeNewalLLC/,,https://www.linkedin.com/company/16243870/,https://www.youtube.com/channel/UCYC6tVx48S2ksKtbrqPVcaw,https://www.instagram.com/treenewal_dfw/,"Tree services",bing,1,0,0,95544441
,"TreeNewal, Certified Arborist","1617 Park Pl Ave Suite 110-TN17, Fort Worth, TX 76110",https://treenewal.com/,8177698740,d.gaona@treenewal.com,,,,,,5,3,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/2008/fbml,,https://www.linkedin.com/company/16243870/,https://www.youtube.com/channel/UCYC6tVx48S2ksKtbrqPVcaw,https://www.instagram.com/treenewal_dfw/,"Tree service in Fort Worth, Texas",google-places,1,0,0,380445843
,"The Tree Place","5625 Interstate 20, Fort Worth, TX 76140",https://thetreeplace.com,8175619248,thetreeplacenursery@gmail.com,,,,,,4.8,311,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/TheTreePlaceNursery,,,https://www.youtube.com/channel/UC74ARha8UkDeNlLNVjlUQLw/featured?view_as=subscriber,https://www.instagram.com/thetreeplacetx/,"Tree Service,Nurseries-Plants & Trees,Garden Centers",yellowpages,1,0,0,95543772
New,"Texas Tree Tops-Tree Services LLC","3613 Avenue N, Fort Worth, TX 76105",http://texastreetops.com,6823657478,pwp-376bdb032716e5fd409fbe840a3f172a@privacyguardian.org,,,,,,5,206,,,,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,"Tree service",google,1,0,0,557932834
,"Texas Tree Surgeons","196 S International Rd Garland, TX 75042",https://texastreesurgeons.com,9727790596,office@texastreesurgeons.com,,,,,,4.8,183,4.4,91,4.8,29,2498,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/textreesurgeons/,https://twitter.com/intent/tweet?text=Why%20Shouldn%E2%80%99t%20We%20Treat%20for%20Aphids%3F&url=https%3A%2F%2Ftexastreesurgeons.com%2Fblog%2F2022%2F10%2F14%2Faphid-control-2022%2F,https://www.linkedin.com/company/textreesurgeons,https://youtube.com/@texastreesurgeons2286,https://www.instagram.com/textreesurgeons/,"Tree Services",yelp,1,0,0,95544394
